brand,model,94db voltage,impedance,note,ignore
sennheiser,hd600,327,,amirm didn't test the impedance,
hifiman,he400se stealth,328,25,,
dca,aeon 2 noire,353,13,,
anan audio,nan-7,360,15,,
beyer,t1 2nd,370,600,impedance rises to 900 Ω in 100 hz,
beyer,dt150,400,242,impedance rises to 300 Ω in 80 ~ 90 hz,
hifiman,he560 v4,420,39,,
dca,e3,512,27,,
dca,stealth,549,23,,
hedd,heddphone 1,583,40.9,,
abyss,diana phi,611,50,Actual model is unsertain,
abyss,diana v2,631,46,,
dca,expanse,665,23,impedance rise in lower frequencies; reaches 36 Ω in 230 hz but 28 Ω in 20 hz,
dca,aeon rt closed,677,13,,
beyer,dt990 pro,704,252,impedance rises to 352 Ω in 90 hz and drops to 253 Ω in 20 hz and rises to 282 Ω in 20000 hz,
beyer,dt880 600,948,616,impedance reaches 722 Ω in 90 hz and 643 Ω in 20000 hz and 614 Ω in 2000 hz,
anan audio,nan-6,956,41,,
abyss,1266 phi tc,1030,49,,
raal,ca-1a,1075,,,yes
hifiman,he6,1250,50,,
hifiman,susvara,1290,65,,
hifiman,he6se v1,1370,64,,
